resultado_id;medalla;deportista_id;juego_id;evento_id
86843;NA;44053;46;443
86844;NA;44054;22;5
86845;Gold;44054;22;6
86846;NA;44054;22;265
86847;NA;44054;24;465
86848;NA;44055;44;267
86849;NA;44055;44;63
86850;NA;44055;44;11
86851;NA;44055;44;8
86852;NA;44055;44;504
86853;NA;44056;37;123
86854;NA;44057;43;156
86855;NA;44057;43;155
86856;NA;44058;19;208
86857;NA;44058;21;98
86858;Gold;44059;23;155
86859;Bronze;44060;27;29
86860;NA;44061;47;268
86861;Gold;44061;47;13
86862;Silver;44061;47;246
86863;NA;44061;49;268
86864;Silver;44061;49;246
86865;NA;44062;45;181
86866;NA;44063;33;183
86867;Gold;44064;35;21
86868;Bronze;44064;35;22
86869;NA;44064;35;23
86870;Silver;44064;35;24
86871;NA;44064;35;25
86872;Bronze;44064;35;26
86873;Gold;44064;35;27
86874;NA;44064;35;28
86875;NA;44065;29;181
86876;Gold;44066;46;306
86877;NA;44067;50;428
86878;NA;44068;40;14
86879;NA;44069;45;179
86880;NA;44069;45;294
86881;NA;44069;45;231
86882;NA;44070;42;269
86883;NA;44070;44;269
86884;NA;44071;29;254
86885;NA;44072;39;123
86886;NA;44072;41;123
86887;NA;44073;27;162
86888;NA;44074;34;31
86889;NA;44075;32;31
86890;NA;44075;32;33
86891;NA;44075;32;34
86892;NA;44076;35;115
86893;NA;44076;36;203
86894;NA;44076;36;51
86895;NA;44077;34;370
86896;NA;44078;43;2
86897;NA;44078;45;2
86898;NA;44079;3;21
86899;NA;44079;3;530
86900;NA;44079;3;531
86901;NA;44079;3;22
86902;Silver;44080;29;208
86903;NA;44081;15;295
86904;NA;44081;15;296
86905;NA;44082;49;169
86906;NA;44082;49;170
86907;NA;44082;49;351
86908;NA;44082;49;171
86909;NA;44082;51;169
86910;NA;44082;51;170
86911;NA;44083;37;137
86912;Bronze;44084;42;339
86913;NA;44084;44;339
86914;NA;44085;32;40
86915;NA;44085;32;59
86916;NA;44085;32;60
86917;NA;44085;34;39
86918;Gold;44085;34;59
86919;Silver;44085;34;60
86920;Gold;44085;36;59
86921;Gold;44085;36;60
86922;NA;44085;38;59
86923;NA;44086;43;87
86924;NA;44086;45;236
86925;NA;44086;47;236
86926;NA;44086;47;439
86927;NA;44086;49;237
86928;Bronze;44087;4;4
86929;Gold;44088;6;4
86930;NA;44089;11;108
86931;NA;44090;5;334
86932;NA;44091;33;319
86933;NA;44091;33;332
86934;Silver;44091;35;332
86935;NA;44091;37;332
86936;NA;44092;35;161
86937;NA;44092;35;414
86938;NA;44093;6;327
86939;NA;44094;29;104
86940;NA;44094;29;67
86941;NA;44095;15;3
86942;NA;44096;40;203
86943;NA;44096;40;51
86944;Gold;44097;7;286
86945;NA;44098;5;325
86946;Silver;44098;5;372
86947;NA;44098;5;537
86948;NA;44099;5;3
86949;NA;44099;6;3
86950;NA;44099;7;3
86951;NA;44100;37;254
86952;NA;44101;25;167
86953;NA;44102;42;303
86954;NA;44103;39;192
86955;NA;44103;41;192
86956;NA;44104;42;303
86957;NA;44105;35;161
86958;NA;44105;35;414
86959;NA;44106;11;409
86960;NA;44107;33;75
86961;NA;44107;33;209
86962;Silver;44108;49;88
86963;NA;44109;23;297
86964;NA;44109;23;298
86965;NA;44110;11;92
86966;NA;44111;28;51
86967;NA;44112;33;349
86968;Silver;44112;33;231
86969;NA;44112;33;171
86970;NA;44113;24;249
86971;NA;44113;24;250
86972;Silver;44113;24;283
86973;Gold;44113;26;249
86974;Gold;44113;26;250
86975;Silver;44113;26;283
86976;NA;44114;37;117
86977;NA;44114;39;117
86978;NA;44114;41;117
86979;NA;44115;43;230
86980;NA;44116;43;137
86981;Gold;44116;45;137
86982;Silver;44116;47;137
